id,endTime,ticket,startedAt,numberOfBets,payout,serverSeed
f2fd8a9f-81eb-46be-ae20-219e95a5db04,1702226288803,394,1702226265949,0,0,65922445b827de87a77855a98409eabf53a44e49f7af9a8243cce6c841b19265
d3cfae12-dea3-4040-bebe-99a2eabf47ad,1702226258675,11491,1702226179605,1,48,dbf63644e9a9baa75597dae5e45b81f2ad69a3deabc31f32be9eaa16cd522b78
d1cf3139-d835-40cf-a728-813a05b36970,1702226172497,1396,1702226128560,2,23600,9636878bb1880d634b15b8943b97fa57e856e275d43eccafb14aebd8f2236f19
bd9e77bf-6e46-49d7-9c7a-bf860c26cd02,1702226121462,101,1702226121296,2,0,09d5c361f88db471fe0fef7f2a97aa48a1dae614fa6a2d632121bc4ee3df459f
e62bd131-64bf-41ee-845b-27ede00c08d5,1702226114135,120,1702226111096,3,0,b2c60456078f8676dd42f8e8d4da93a17fd43f21999b679148659589804477b3
62c8ea2c-3659-4b6f-bd84-25927bbf3f28,1702226103756,145,1702226097563,2,0,dfd835baece870858436e4593360da2cdf684ea1905d15255b2fdce237e7252a
be2c2b57-4908-4f2d-b351-2e10f3a643b4,1702226090398,278,1702226073357,1,12,dedf21ab9a7eea0fe89513772828faf014d6c0b9886a16fb5399c2835405b948
e6455869-1f81-4579-b85a-499275938477,1702226066128,327,1702226046381,1,12,432945b9c362265d99f4afb79bdcf398f988de63c43801765a02259e1afa92aa
39e60646-c90a-47e3-ba48-1677cdb7f643,1702226039279,196,1702226028063,0,0,3440770a97b915c3fbe6308947adb54bac20a8563c430ceadc6ce42208441eb3
e54734ad-be51-46ad-9910-97bb4b321649,1702226020880,146,1702226014572,0,0,d6a694503d37574ab5cb7971fb6ace8e55d8accc85ab1abbc6877e46038ca843
33775632-ab2e-42e3-8e99-c45c3ba098d1,1702226007288,145,1702226001095,0,0,6b6a9f4ac0dbb05305ea9a71da560b48924216f24f1081a986321b05f1cd1129
6103a7ca-4f83-4b99-9556-7d6337554059,1702225993779,295,1702225975748,0,0,b02228647a7f1fc8fbd6a4b228590dc3eee6c85cc77245bbbc1640d57359aa21
c4f59fe4-07c9-4077-91e8-756a1586f7b1,1702225968547,4141,1702225906488,0,0,d596cca86624c13c11ec45d9798b07a9e1b51ab2a39ba925780b01c8a9b07a10
4d098541-ecb6-4546-94b6-8ae3392ae457,1702225899319,287,1702225881747,0,0,d3dcb7698c10ef99f36d01ec5db87008d3ad179fe463853732d48447b0597865
3b141406-d5bb-43a4-a07e-f496ff0cb15f,1702225874646,100,1702225874646,0,0,5dd3dcce85cd063bc024ae8e4ef18a114fc28f3d8bede2fb432f4d2c02b7715e
9efc5ceb-c0fa-4474-bf4a-91077da75a9c,1702225867400,133,1702225862647,0,0,c9ac7d64c926a889a9b71a429481ca17917fc03eabaf07e2f7c36f9f428f5906
e43a9adb-f65a-47af-973a-a58d8806c1df,1702225855582,120,1702225852543,0,0,9141cf8420dca8a344a30f58d12aa82971b8d47fb03a38e918fb8fab9ddf98a3
b666fa86-2f17-4747-8b69-78e3f4218f09,1702225845472,100,1702225845472,0,0,af3238edcff5e10971144afb0a62440ce05ae7c55c080b3c3ab0c20c8676d31d
fef0ea06-6341-4da3-a3b4-f19a4f1ceaa4,1702225838323,742,1702225804920,0,0,55e9ed49b6439b4beccdef908ce6dc3859cdfcf31bfabddde09ca5b2b517f169
af7315b3-b61f-4291-9e47-b69f7dae8aa4,1702225797828,196,1702225786612,0,0,e0f9930c920fe2aea395f869a3c97c378672a5b46e2bb1678b81400750a3d20f
ec34e8b7-4a3d-4ce1-ae7f-0801a31bdd82,1702225779567,302,1702225761146,1,118,dfa60666185cd4d89cde3e763e1cca7141fb6637e2c11c584fe297c1abe6d6df
f8e1e180-8353-41f7-972a-77ea6753f201,1702225753892,117,1702225751275,1,115,c0664f62c9e76c71022ab34f704ca242bc3ecd5a0311809e23348a61e86615d3
1622aa1a-9bf1-4ea6-ab32-f30ad5e007f1,1702225743973,237,1702225729591,0,0,9cddfe130352b722c9166db3205eeb045b4af0c95f9b05955d3f8b65d74e8387
24233f82-9816-4f1f-913e-1fca663a8f4f,1702225722428,157,1702225714910,1,0,e3ca69c62d9e105b77432338c0b26b3742994c480c5bf9ee9a17ee1c4d3d82fd
